,,,,,,,,,,,,,,
,Monitoramento dos Indicadores de Violência Contra as Mulheres e Meninas no Estado do Rio Grande do  Sul no Ano de 2012,,,,,,,,,,,,,
,Delitos Enquadrados na Lei Maria da Penha,,,,,,,,,,,,,
,Município,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
,,,,,,,,,,,,,,
,Femicídio Tentado,-,-,-,-,-,-,-,-,-,-,-,-,-
,Femicídio Consumado,12,14,8,5,8,2,12,13,9,9,3,6,101
,Ameaça,4.271,4.040,3.912,3.527,3.617,3.183,3.188,3.630,3.395,3.944,4.020,4.242,44.969
,Estupro,154,108,126,85,106,103,125,130,107,132,140,138,1.454
,Lesão Corporal,2.655,2.571,2.305,2.055,2.012,1.725,1.714,2.148,2.079,2.457,2.427,2.975,27.123
,,,,,,,,,,,,,,
,Geral,7.092,6.733,6.351,5.672,5.743,5.013,5.039,5.921,5.590,6.542,6.590,7.361,73.647
,Fonte: SIP/PROCERGS - Atualizado em 9/1/2018. Dados revisados em 21/08/2019.,,,,,,,,,,,,,
,Monitoramento dos Indicadores de Violência Contra as Mulheres e Meninas no Estado do Rio Grande do  Sul no Ano de 2013,,,,,,,,,,,,,
,Delitos Enquadrados na Lei Maria da Penha,,,,,,,,,,,,,
,Município,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
,,,,,,,,,,,,,,
,Femicídio Tentado,26,21,19,19,13,18,13,19,22,19,21,19,229
,Femicídio Consumado,7,12,8,9,10,9,5,6,8,7,2,9,92
,Ameaça,4.537,3.853,3.845,3.683,3.237,3.266,3.315,3.300,3.251,3.584,3.857,4.151,43.879
,Estupro,153,129,104,105,116,124,112,109,98,145,122,131,1.448
,Lesão Corporal,2.674,2.425,2.298,2.071,1.970,1.793,1.724,1.766,1.932,2.184,2.456,2.844,26.137
,,,,,,,,,,,,,,
,Geral,7.397,6.440,6.274,5.887,5.346,5.210,5.169,5.200,5.311,5.939,6.458,7.154,71.785
,Fonte: SIP/PROCERGS - Atualizado em 9/1/2018. Dados revisados em 21/08/2019.,,,,,,,,,,,,,
,Monitoramento dos Indicadores de Violência Contra as Mulheres e Meninas no Estado do Rio Grande do  Sul no Ano de 2014,,,,,,,,,,,,,
,Delitos Enquadrados na Lei Maria da Penha,,,,,,,,,,,,,
,Município,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
,,,,,,,,,,,,,,
,Femicídio Tentado,38,24,29,15,17,17,24,23,26,24,29,20,286
,Femicídio Consumado,5,9,11,8,4,3,4,3,6,5,9,8,75
,Ameaça,4.455,3.937,3.994,3.617,3.452,3.193,3.489,3.542,3.540,3.856,3.853,3.843,44.771
,Estupro,152,102,135,105,109,94,107,83,109,117,143,151,1.407
,Lesão Corporal,2.571,2.304,2.324,2.013,1.745,1.804,1.711,1.987,1.871,2.265,2.354,2.593,25.542
,,,,,,,,,,,,,,
,Geral,7.221,6.376,6.493,5.758,5.327,5.111,5.335,5.638,5.552,6.267,6.388,6.615,72.081
,Fonte: SIP/PROCERGS - Atualizado em 9/1/2018. Dados revisados em 21/08/2019.,,,,,,,,,,,,,
,Monitoramento dos Indicadores de Violência Contra as Mulheres e Meninas no Estado do Rio Grande do  Sul no Ano de 2015,,,,,,,,,,,,,
,Delitos Enquadrados na Lei Maria da Penha,,,,,,,,,,,,,
,Município,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
,,,,,,,,,,,,,,
,Femicídio Tentado,25,30,32,33,33,14,18,29,14,27,25,31,311
,Femicídio Consumado,5,13,5,9,8,5,7,12,9,11,7,8,99
,Ameaça,4.434,3.902,4.370,3.893,3.593,3.152,2.968,2.983,2.744,3.382,3.648,3.772,42.841
,Estupro,142,120,126,129,111,125,95,129,123,134,92,146,1.472
,Lesão Corporal,2.639,2.310,2.371,2.099,1.928,1.647,1.647,1.853,1.590,1.968,2.104,2.377,24.533
,,,,,,,,,,,,,,
,Geral,7.245,6.375,6.904,6.163,5.673,4.943,4.735,5.006,4.480,5.522,5.876,6.334,69.256
,Fonte: SIP/PROCERGS - Atualizado em 9/1/2018. Dados revisados em 21/08/2019.,,,,,,,,,,,,,
,Monitoramento dos Indicadores de Violência Contra as Mulheres no Estado do Rio Grande do  Sul no Ano de 2016,,,,,,,,,,,,,
,Delitos Enquadrados na Lei Maria da Penha,,,,,,,,,,,,,
,Município,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
,,,,,,,,,,,,,,
,Femicídio Tentado,16,18,20,28,15,14,20,28,19,24,26,35,263
,Femicídio Consumado,10,13,8,11,3,4,6,10,10,5,7,9,96
,Ameaça,4.169,3.923,3.705,3.359,2.984,2.846,3.059,3.080,2.843,3.131,3.317,3.190,39.606
,Estupro,206,119,147,99,99,126,129,137,103,123,145,141,1.574
,Lesão Corporal,2.504,2.265,1.976,1.914,1.514,1.441,1.633,1.588,1.602,1.958,1.966,2.306,22.667
,,,,,,,,,,,,,,
,Geral,6.905,6.338,5.856,5.411,4.615,4.431,4.847,4.843,4.577,5.241,5.461,5.681,64.206
,Fonte: SIP/PROCERGS - Atualizado em 9/1/2018. Dados revisados em 21/08/2019.,,,,,,,,,,,,,
,Monitoramento dos Indicadores de Violência Contra as Mulheres e Meninas no Estado do Rio Grande do  Sul no Ano de 2017,,,,,,,,,,,,,
,Delitos Enquadrados na Lei Maria da Penha,,,,,,,,,,,,,
,Município,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
,,,,,,,,,,,,,,
,Femicídio Tentado,23,30,32,28,17,22,25,34,35,27,21,28,322
,Femicídio Consumado,9,8,6,6,3,9,4,8,14,3,7,6,83
,Ameaça,3.576,3.356,3.454,2.905,2.961,2.770,3.222,3.184,3.112,3.104,3.069,3.233,37.946
,Estupro,167,124,127,120,124,112,132,151,175,149,137,143,1.661
,Lesão Corporal,2.197,2.096,2.026,1.806,1.550,1.514,1.797,1.754,1.896,1.938,1.973,2.413,22.960
,,,,,,,,,,,,,,
,Geral,5.972,5.614,5.645,4.865,4.655,4.427,5.180,5.131,5.232,5.221,5.207,5.823,62.972
,Fonte: SIP/PROCERGS - Atualizado em 9/1/2018. Dados revisados em 21/08/2019.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Observações:,,,,,,,,,,,,,
,1. Homicídios enquadrados pelo recorte de gênero.,,,,,,,,,,,,,
,"2. Os dados presentes na planilha representam um recorte temporal, retratando os fatos  registrados na data da extração da base de dados, sujeito ainda a alterações provenientes da revisão de ocorrencias duplicadas, apuração de informações oriundas de investigações, diligências, perícias, correção do fato   no final da investigação policial, etc.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"3. Nos casos dos femicídios tentados observou-se que fatores como as ações de incentivo para que as vítimas comuniquem as violências sofridas, os recentes concursos públicos que ampliaram o número de servidores e também qualificaram o atendimento prestado, a inclusão do tema em cursos de formação e treinamentos, a atenção no atendimento as vítimas, a ampliação da rede de atendimento as mulheres, com a criação de novas DEAMs  em todo o Estado, e a instalação de mais delegacias de homicídios na capital, aliadas à criação de  serviços inovadores e reconhecidos internacionalmente, como as ""Patrulhas Maria da Penha"", as ""Salas Lilás"" e as ações dos programa ""Metendo a Colher"" da SUSEPE, acabaram por motivar enquadramentos mais rigorosos, como os casos de femicídio tentado.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Variação de Indicadores entre 2016 e 2017,,,,,,,,,,,,,
,Diferença,Indicador,,,,,,,,,,,,
,,Ameaça,Lesão Corporal,Estupro,Feminicídio Consumado,Feminício Tentado,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Absoluta,-1.660,293,87,-13,59,,,,,,,,
,Relativa,"-4,2","1,3","5,5","-13,5","22,4",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Observações:,,,,,,,,,,,,,
,"1. O comparativo entre os períodos de janeiro a dezembro de 2016 e 2017 apontou as seguintes situações: no caso das ameças, constatou-se uma redução de 2.480 crimes (de 39.606 para 37.946), ou 4,2% a menos nos casos. ",,,,,,,,,,,,,
,"2. Fenômeno que não se observou nas lesões corporais as quais tiveram um aumento. Foram 293 casos a mais neste período de 2017 (de22.667  para 22.960), o que representou um aumento de1,3%. ",,,,,,,,,,,,,
,"3. Os casos de estupro também sofreram um incremento no  mesmo período. Foram 1.574 casos em 2016, contra 1.661 em 2017. O aumento foi de 87 crimes ou 5,5%. ",,,,,,,,,,,,,
,"4. Também os femicídios consumados sofreram uma queda, de 96 para 83 casos (13,5 %). Foram 13 vítimas a menos em comparação ao mesmo período do ano passado. Já as tentativas sofreram um acréscimo de 23,2%, um aumento de 263 para 322 tentativas.",,,,,,,,,,,,,